Account #	Customer Balance	Pers Prop Pin #
5205	        $261.68	2018-736
5206	        $111.45	2018-1025
5206	        $111.45	2018-806
5211	          $0.00	2018-1078
5211	          $0.00	2018-288
5211	          $0.00	2018-238
5215	         $55.33	2018-583
5215	         $55.33	2018-347
5217	         $46.14	2018-1319
5217	         $46.14	2018-298
5219	          $0.00	2018-1001
5219	          $0.00	2018-992
5222	        $481.16	2018-74
5225	        $196.45	2018-2638
5225	        $196.45	2018-2342
5240	         $33.60	2018-1086
5240	         $33.60	2018-738
5241	         $21.87	2018-2425
5241	         $21.87	2018-2184
5241	         $21.87	2018-1204
5249	          $0.00	2018-1381
5256	          $0.00	2018-2520
5258	          $5.68	2018-1987
5259	         $41.93	2018-733
5265	          $0.00	2018-2196
5265	          $0.00	2018-1155
5268	         $68.93	2018-280
5270	        $336.87	2018-1678
5270	        $336.87	2018-739
5274	         $22.70	2018-659
5282	         $11.21	2018-2129
5282	         $11.21	2018-2036
5285	          $0.00	2018-2555
5285	          $0.00	2018-1844
5285	          $0.00	2018-1060
5286	        $105.28	2018-817
5286	        $105.28	2018-369
5286	        $105.28	2018-170
5288	        $186.11	2018-740
5296	          $0.00	2018-679
5306	        $367.55	2018-1186
5317	          $0.00	2018-1209
5318	        $318.46	2018-380
5318	        $318.46	2018-103
5332	         $14.28	2018-1089
5345	         $17.27	2018-2523
5349	        $138.16	2018-1514
5351	          $0.00	2018-1853
5353	          $0.00	2018-2056
5354	         $36.31	2018-1369
5354	         $36.31	2018-595
5362	          $0.68	2018-1827
5370	          $0.00	2018-2245
5370	          $0.00	2018-2123
5370	          $0.00	2018-2074
5371	          $0.00	2018-157
5389	          $0.00	2018-611
5396	          $0.00	2018-1232
5403	         $-4.51	2018-1095
5412	          $0.00	2018-2286
5412	          $0.00	2018-1666
5412	          $0.00	2018-1274
5418	        $629.50	2018-2057
5420	          $0.00	2018-2464
5420	          $0.00	2018-439
5420	          $0.00	2018-339
5436	        $571.57	2018-1212
5436	        $571.57	2018-117
5436	        $571.57	2018-27
5451	          $0.00	2018-2260
5451	          $0.00	2018-1337
5462	        $129.26	2018-2517
5462	        $129.26	2018-2282
5462	        $129.26	2018-1141
5487	        $277.81	2018-1836
5487	        $277.81	2018-732
5489	          $0.00	2018-2106
5506	        $159.49	2018-2403
5514	         $68.77	2018-2084
5517	          $0.00	2018-1922
5517	          $0.00	2018-399
5517	          $0.00	2018-344
5531	          $0.00	2018-2090
5531	          $0.00	2018-1142
5532	          $0.00	2018-2438
5547	        $208.49	2018-107
5547	        $208.49	2018-669
5547	        $208.49	5547-A
5547	        $208.49	5547-B
5560	          $0.00	2018-704
5580	         $93.83	2018-29
5639	         $50.01	2018-871
5639	         $50.01	2018-348
5640	          $6.25	2018-1988
5668	         $83.83	2018-1231
5674	          $0.00	2018-2554
5674	          $0.00	2018-788
5674	          $0.00	2018-773
5704	          $0.00	2018-2659
5705	        $906.97	2018-2065
5706	         $26.18	2018-482
5721	          $8.25	2018-1741
5732	         $17.47	2018-836
5743	        $194.49	2018-1511
5749	         $23.29	2018-635
5750	          $0.00	2018-483
5755	         $69.02	2018-2418
5776	          $0.00	2018-796
5777	         $96.23	2018-1304
5777	         $96.23	2018-39
5782	        $123.94	2018-1216
5789	          $0.00	2018-1543
5789	          $0.00	2018-923
5789	          $0.00	2018-463
5792	         $19.21	2018-742
5805	          $2.43	2018-2491
5822	         $72.32	2018-1669
5822	         $72.32	2018-566
5822	         $72.32	2018-294
5833	          $0.00	2018-576
5847	          $0.00	2018-278
5857	          $0.00	2018-818
5860	          $8.40	2018-1627
5876	        $483.34	2018-171
5880	          $0.00	2018-2611
5880	          $0.00	2018-2161
5880	          $0.00	2018-1435
5899	          $0.00	2018-148
5916	          $0.00	2018-2596
5916	          $0.00	2018-917
5964	          $0.00	2018-830
5990	         $72.24	2018-2224
5990	         $72.24	2018-366
5990	         $72.24	2018-279
6000	          $0.00	2018-928
6006	          $4.00	2018-2212
6016	         $40.85	2018-2436
6016	         $40.85	2018-2341
6016	         $40.85	2018-825
6016	         $40.85	2018-822
6019	         $16.32	2018-1042
6026	         $51.13	2018-549
6028	         $12.57	2018-1230
6044	          $0.00	2018-360
6046	          $0.00	2018-2367
6047	         $28.11	2018-2507
6047	         $28.11	2018-1978
6047	         $28.11	2018-685
6048	         $30.35	2018-403
6054	          $0.00	2018-265
6062	        $111.44	2018-2093
6062	        $111.44	2018-1135
6073	      $1,057.91	2018-76
6076	         $11.56	2018-1310
6087	        $148.68	2018-1984
6087	        $148.68	2018-1706
6087	        $148.68	2018-112
6093	         $94.84	2018-2400
6093	         $94.84	2018-34
6098	         $-0.08	2018-1026
6098	         $-0.08	2018-900
6112	         $25.72	2018-1624
6112	         $25.72	2018-1031
6115	          $5.68	2018-1986
6121	         $14.28	2018-1085
6142	         $44.41	2018-2468
6142	         $44.41	2018-1566
6142	         $44.41	2018-352
6153	          $0.00	2018-794
6154	          $0.00	2018-1451
6154	          $0.00	2018-627
6180	          $6.16	2018-2016
6184	          $0.00	2018-1890
6188	         $89.28	6188-2018
6190	         $73.60	2018-2641
6190	         $73.60	2018-1654
6190	         $73.60	2018-106
6197	          $0.00	2018-2458
6197	          $0.00	2018-1700
6205	         $12.82	2018-2309
6205	         $12.82	2018-1607
6207	         $21.55	2018-2327
6207	         $21.55	2018-2243
6214	          $0.00	2018-751
6215	          $0.00	2018-2299
6215	          $0.00	2018-1961
6215	          $0.00	2018-1139
6217	          $0.00	2018-2208
6217	          $0.00	2018-110
6218	          $0.00	2018-1323
6218	          $0.00	2018-776
6218	          $0.00	2018-718
6223	         $29.74	2018-1801
6223	         $29.74	2018-570
6228	          $0.00	2018-1963
6228	          $0.00	2018-1170
6228	          $0.00	2018-1118
6228	          $0.00	2018-130
6231	         $63.58	2018-1421
6234	          $0.00	2018-270
6234	          $0.00	2018-232
6253	          $0.00	2018-2352
6253	          $0.00	2018-172
6256	          $0.00	2018-2569
6256	          $0.00	2018-1509
6256	          $0.00	2018-1439
6257	          $9.11	2018-1537
6258	          $0.00	2018-2487
6258	          $0.00	2018-2112
6258	          $0.00	2018-1914
6258	          $0.00	2018-1411
6259	         $62.80	2018-613
6259	         $62.80	2018-231
6261	          $2.77	2018-2460
6265	          $0.00	2018-489
6267	          $0.00	2018-701
6268	         $25.82	2018-2567
6268	         $25.82	2018-1765
6268	         $25.82	2018-899
6269	         $34.16	2018-309
6272	         $68.01	2018-2635
6272	         $68.01	2018-1932
6272	         $68.01	2018-1221
6272	         $68.01	2018-543
6272	         $68.01	2018-524
6274	          $0.00	2018-925
6278	          $6.78	2018-1825
6279	          $0.00	2018-175
6280	         $29.42	2018-1840
6280	         $29.42	2018-1806
6281	          $0.00	2018-2091
6281	          $0.00	2018-1609
6284	          $0.00	2018-2332
6286	        $226.94	2018-622
6286	        $226.94	2018-441
6291	        $318.22	2018-2462
6291	        $318.22	2018-121
6295	          $0.00	2018-2572
6295	          $0.00	2018-1551
6295	          $0.00	2018-1513
6297	         $10.11	2018-2266
6297	         $10.11	2018-1871
6303	         $22.67	2018-2220
6304	          $0.00	2018-2206
6310	          $7.39	2018-1845
6311	         $72.58	2018-620
6312	         $72.35	2018-2377
6314	          $0.00	2018-939
6314	          $0.00	2018-93
6315	          $0.00	2018-2300
6323	         $10.75	2018-1387
6327	          $5.80	2018-2441
6339	      $1,156.79	2018-2390
